value,gesture
17;11;9;-4;0;0;0;5;-15;8;-17;-2;-1;-5;-6;-12;0;-5;18;-2;-1;0;0;5;2;-5;4;-1;1;-1;0;2;-3;-15;-9;-3;0;0;0;-3;7;0;-16;-6;-2;0;0;9;-2;-17;7;3;0;-2;-2;-7;-3;-4;-2;-3;-3;-3;-1;-3;,0
-3;-15;-9;-3;0;0;0;-3;7;0;-16;-6;-2;0;0;9;-2;-17;7;3;0;-2;-2;-7;-3;-4;-2;-3;-3;-3;-1;-3;-3;-11;-3;-1;0;-2;-1;-5;-1;4;10;-1;-2;-1;1;1;-6;-14;10;2;0;-1;-1;-7;1;-1;-16;-6;-1;-1;0;3;,0
-3;-15;-9;-3;0;0;0;-3;7;0;-16;-6;-2;0;0;9;-2;-17;7;3;0;-2;-2;-7;-3;-4;-2;-3;-3;-3;-1;-3;-3;-11;-3;-1;0;-2;-1;-5;-1;4;10;-1;-2;-1;1;1;-6;-14;10;2;0;-1;-1;-7;1;-1;-16;-6;-1;-1;0;3;,0
-3;-11;-3;-1;0;-2;-1;-5;-1;4;10;-1;-2;-1;1;1;-6;-14;10;2;0;-1;-1;-7;1;-1;-16;-6;-1;-1;0;3;-10;-7;-10;2;-1;-1;-2;-6;0;-3;12;0;1;0;1;1;3;-7;-12;-4;-2;0;-1;-5;1;-1;6;4;-1;1;0;3;,0
-3;-11;-3;-1;0;-2;-1;-5;-1;4;10;-1;-2;-1;1;1;-6;-14;10;2;0;-1;-1;-7;1;-1;-16;-6;-1;-1;0;3;-10;-7;-10;2;-1;-1;-2;-6;0;-3;12;0;1;0;1;1;3;-7;-12;-4;-2;0;-1;-5;1;-1;6;4;-1;1;0;3;,0
-10;-7;-10;2;-1;-1;-2;-6;0;-3;12;0;1;0;1;1;3;-7;-12;-4;-2;0;-1;-5;1;-1;6;4;-1;1;0;3;-2;-19;1;-5;-2;-2;-2;0;-1;-1;-28;-5;0;0;-1;-2;1;7;-8;-5;-1;-3;-2;-3;-4;-9;11;5;-3;-2;1;-2;,0
3;-7;-12;-4;-2;0;-1;-5;1;-1;6;4;-1;1;0;3;-2;-19;1;-5;-2;-2;-2;0;-1;-1;-28;-5;0;0;-1;-2;1;7;-8;-5;-1;-3;-2;-3;-4;-9;11;5;-3;-2;1;-2;-2;-11;-7;-7;-3;-2;-2;-1;6;0;6;3;0;0;-1;12;,0
-2;-19;1;-5;-2;-2;-2;0;-1;-1;-28;-5;0;0;-1;-2;1;7;-8;-5;-1;-3;-2;-3;-4;-9;11;5;-3;-2;1;-2;-2;-11;-7;-7;-3;-2;-2;-1;6;0;6;3;0;0;-1;12;-5;5;7;1;0;-2;-1;-26;-2;-4;-16;-4;0;0;-1;19;,0
-2;-11;-7;-7;-3;-2;-2;-1;6;0;6;3;0;0;-1;12;-5;5;7;1;0;-2;-1;-26;-2;-4;-16;-4;0;0;-1;19;2;1;13;3;-3;-2;-2;-26;-2;22;7;-1;-1;-1;-7;3;-1;1;8;-2;-1;0;-1;3;-5;-7;16;3;0;-3;-3;-5;,0
-2;-11;-7;-7;-3;-2;-2;-1;6;0;6;3;0;0;-1;12;-5;5;7;1;0;-2;-1;-26;-2;-4;-16;-4;0;0;-1;19;2;1;13;3;-3;-2;-2;-26;-2;22;7;-1;-1;-1;-7;3;-1;1;8;-2;-1;0;-1;3;-5;-7;16;3;0;-3;-3;-5;,0
2;1;13;3;-3;-2;-2;-26;-2;22;7;-1;-1;-1;-7;3;-1;1;8;-2;-1;0;-1;3;-5;-7;16;3;0;-3;-3;-5;0;2;-12;-1;0;-1;2;8;-2;-22;-2;-3;-2;-3;1;-3;3;-3;2;-3;-2;-3;0;9;2;8;4;1;0;-1;-2;-5;,0
-1;1;8;-2;-1;0;-1;3;-5;-7;16;3;0;-3;-3;-5;0;2;-12;-1;0;-1;2;8;-2;-22;-2;-3;-2;-3;1;-3;3;-3;2;-3;-2;-3;0;9;2;8;4;1;0;-1;-2;-5;0;20;-17;-3;0;0;-2;-8;-3;6;12;1;-1;-3;-3;4;,0
